"","x","y","z","xproj","yproj"
"A1",-8.13936604968708,-0.970102870108845,-6.18062102951404,-13.1628069287358,-1.56882940296635
"A2",8.17428051630795,-0.947164400211696,-6.19493953845112,13.2381978731946,-1.53392701944017
"AF1",-1.95873493918673,9.22493764837789,3.96387953837104,-1.57358393818084,7.41101484626313
"AF2",1.96321683327502,9.21340899112343,3.95872353497331,1.57758804441281,7.40364672221905
"AF3",-3.618496305522,8.76128739019989,3.30082770013938,-3.0058488168673,7.27791411473272
"AF4",3.6126924612776,8.74685248158268,3.29305154863681,3.00222509954727,7.2688224485508
"AF5",-4.83393582962045,8.15010976525103,2.0550898767575,-4.28959848296008,7.23234641857544
"AF6",4.82336105623095,8.13554649839743,2.04722300185056,4.28206033715607,7.22253643792088
"AF7",-5.62935377933356,7.4902384756628,0.301870479640668,-5.52634382022202,7.35317671167378
"AF8",5.62015232747076,7.48055630161116,0.297772627180471,5.51868159864831,7.34549635026223
"AFZ",0.00748917134914222,9.35211137261499,4.23447827950114,0.0059368640982945,7.4136659001251
"C1",-3.67961509170096,0.0459142024866759,9.04943011357749,-2.36057167424977,0.0294551911367755
"C2",3.68256169106335,0.0469451592015465,9.03967150282947,2.36337559694602,0.0301282240351673
"C3",-6.17293365032822,0.0834559619083751,6.68719675110102,-4.36892281283989,0.0590663494057822
"C4",6.15965729232196,0.088246128109055,6.68697348802129,4.35956894475236,0.0624572214558794
"C5",-7.57681978784065,0.0558079163953345,3.63628254284437,-6.1875227787174,0.0455748933718933
"C6",7.55186048692942,0.0680007507580249,3.61845496794006,6.17268908410365,0.0555819976602325
"CP1",-3.60147402192006,-3.66901015481739,8.562758904915,-2.35585929636065,-2.40003721505674
"CP2",3.60366190565681,-3.66404316127808,8.55239471148335,2.35827770739736,-2.39779189402313
"CP3",-5.96038809973239,-3.40381347589862,6.27090643278715,-4.29666103045704,-2.45370477091831
"CP4",5.95208711752807,-3.39806346182684,6.26062816523556,4.29264101749408,-2.45068096421676
"CP5",-7.29491092083834,-3.15606903341,3.36439636039696,-6.04011516098159,-2.61319440698715
"CP6",7.27889783568077,-3.15627519031029,3.35078754710892,6.03105271241104,-2.6151846718228
"CPZ",-0.0117909496146063,-3.91827206193002,9.4293828820086,-0.00745204938402608,-2.47640417947178
"CZ",0,0,10,0,0
"F1",-2.65456030302482,6.91187880498569,6.58564531364306,-1.88715276134394,4.91372192902917
"F10",6.55231165774537,5.64452899943543,-3.51224608880771,8.36685768331476,7.20768078419974
"F2",2.65123899407588,6.90235698848352,6.57576185751979,1.88560969047006,4.90908260388832
"F3",-4.82347633329606,6.39376575179547,5.10671741737893,-3.66712823067503,4.86096691858553
"F4",4.82152040554313,6.3740516052865,5.08652056973009,3.66912002532953,4.85057791325599
"F5",-6.24708400826378,5.86706354226203,2.94835181317001,-5.28494008408273,4.96344842639289
"F6",6.22870685624129,5.85269092743849,2.94116093376972,5.27137339637184,4.95314998187338
"F7",-6.87435160898418,5.30084156406774,0.320670308686229,-6.74087785458615,5.19791938823655
"F8",6.86016873259,5.29122397963583,0.316344833915627,6.7287326256584,5.18984777332146
"F9",-6.57190306459665,5.63820820859891,-3.50430243184941,-8.38662171880546,7.19510299415607
"FC1",-3.46870683553858,3.52255287079796,8.35119788722873,-2.28856770839185,2.32409400201141
"FC2",3.46756352921554,3.51553163974915,8.34032639351031,2.28882710532311,2.32048931155391
"FC3",-5.8487163992161,3.19792141153073,6.21771375132553,-4.22616667639515,2.31075469909143
"FC4",5.83960254040463,3.18807571569944,6.20751310020477,4.22150251116936,2.30468932542979
"FC5",-7.32939924693805,3.02181343510952,3.43010395185971,-6.04835233694817,2.49365490080261
"FC6",7.3172869922238,3.00277278075404,3.41936359647506,6.04166355589494,2.47929907565393
"FCZ",-0.00153783554667399,3.81789513170758,9.16259603480538,-0.000982159864333685,2.43835133913255
"FP1",-3.13217229065141,9.59715200031659,0.334235474046824,-3.06883681930631,9.40308855517187
"FP2",3.13613634519011,9.58881113524654,0.333908218731206,3.0727815538517,9.39510236056629
"FPZ",-0.00728388291648767,10.2159123770093,0.326081420132007,-0.0071401182610564,10.0142771860493
"FT10",7.42669541347722,3.47478293425232,-3.53274195242525,9.49873687996249,4.44424430649878
"FT7",-7.76171639760367,2.77562959133987,0.347919515553147,-7.59847662145013,2.71725421017864
"FT8",7.74446197119193,2.77336104479487,0.347901518063558,7.58159332806354,2.71503632811976
"FT9",-7.44600521131561,3.4798364928068,-3.53206142343595,-9.5229222855158,4.4504686132829
